id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2,temperature,temperatureoffset2
287,2017-02-10,0.84,-1.43,1020.28,1.66,6.71,0.85,3.86,2.00,0.01,0.10,2.96,-1.21,4.96,0.79,0.88,2.88
17,2017-02-11,0.89,-0.95,1019.84,1.12,4.22,0.84,2.67,2.00,0.05,0.33,2.52,0.28,4.52,2.28,1.40,3.40
253,2017-02-12,0.89,1.44,1021.27,2.11,5.57,0.77,4.90,2.00,0.03,0.22,7.05,0.56,9.05,2.56,3.81,5.81
337,2017-02-13,0.81,0.59,1022.52,3.31,8.30,0.29,6.24,1.93,0.00,0.00,7.72,0.25,9.72,2.25,3.99,5.99
1124,2017-02-14,0.80,1.53,1026.82,1.81,7.85,0.51,3.95,1.86,0.00,0.06,10.95,1.51,12.95,3.51,6.23,8.23
1139,2018-07-06,0.67,14.21,,2.10,9.65,0.70,,7.14,,,27.92,15.52,29.92,17.52,21.72,23.72
954,2017-02-15,0.80,3.73,1032.85,1.22,8.54,0.34,3.89,1.75,0.00,0.02,14.99,2.51,16.99,4.51,8.75,10.75
227,2017-02-16,0.85,4.84,1031.80,0.92,7.43,0.65,2.89,1.68,0.04,0.28,13.77,4.71,15.77,6.71,9.24,11.24
62,2017-02-17,0.86,4.27,1029.04,1.06,5.91,0.76,3.05,2.00,0.05,0.27,10.42,0.49,12.42,2.49,5.46,7.46
66,2017-02-18,0.84,1.83,1027.14,1.03,6.10,0.61,3.14,2.00,0.00,0.05,10.46,-2.28,12.46,-0.28,4.09,6.09
28,2017-02-19,0.83,1.27,1025.76,1.18,6.96,0.62,4.37,1.86,0.00,0.04,11.04,5.53,13.04,7.53,8.29,10.29
1090,2017-02-20,0.84,5.54,1023.77,2.51,8.95,0.92,6.11,2.00,0.02,0.19,10.47,8.48,12.47,10.48,9.48,11.48
1081,2017-02-21,0.87,8.24,1020.94,3.26,9.61,0.92,6.59,2.00,0.04,0.15,12.27,9.42,14.27,11.42,10.85,12.85
