id,lat,lon,date_piqure_saisie_jm8,annee_extract,timezone,time,summary,icon,sunrisetime,sunsettime,moonphase,precipintensity,precipintensitymax,precipintensitymaxtime,precipaccumulation,precipprobability,temperaturehigh,temperaturehightime,temperaturelow,temperaturelowtime,dewpoint,humidity,pressure,visibility,windgust,windgusttime,windspeed,windbearing,cloudcover,cloudcovererror,uvindex,uvindextime,temperaturemin,temperaturemintime,temperaturemax,temperaturemaxtime,apparenttemperaturemin,apparenttemperaturemintime,apparenttemperaturemax,apparenttemperaturemaxtime,apparenttemperaturehigh,apparenttemperaturehightime,apparenttemperaturelow,apparenttemperaturelowtime,datasource
151661,43.161133,0.17655914,2017-01-05,2017,Europe/Paris,2017-01-04 23:00:00,Foggy overnight.,"",2017-01-05 07:32:00,2017-01-05 16:40:00,0.25,0,0,"",,0,6.94,2017-01-05 14:40:00,-8.76,2017-01-06 06:57:00,-3.63,82,1032.1,9.921,,,2.17,140,,,1,2017-01-05 10:00:00,-5.89,2017-01-05 01:20:00,6.94,2017-01-05 14:40:00,-9.64,2017-01-05 02:56:00,5.68,2017-01-05 13:04:00,5.68,2017-01-05 13:04:00,-12.48,2017-01-06 07:00:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
146179,47.373028,5.02102,2017-05-05,2017,Europe/Paris,2017-05-04 22:00:00,Foggy in the morning.,partly-cloudy-day,2017-05-05 04:18:00,2017-05-05 18:58:00,0.34,0,0,"",,0,19.98,2017-05-05 16:19:00,9.29,2017-05-06 04:51:00,6,73,1016.4,8.771,2.52,2017-05-05 12:21:00,1.62,42,56,,8,2017-05-05 11:30:00,2.54,2017-05-05 04:53:00,19.98,2017-05-05 16:19:00,1.66,2017-05-05 04:57:00,19.7,2017-05-05 16:19:00,19.7,2017-05-05 16:19:00,9.56,2017-05-06 04:51:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
147513,48.034046,6.960971,2017-07-04,2017,Europe/Paris,2017-07-03 22:00:00,"","",2017-07-04 03:40:00,2017-07-04 19:36:00,0.37,0,0,"",,0,24.14,2017-07-04 14:57:00,12.19,2017-07-05 03:48:00,13.34,79,1020.3,9.988,4.2,2017-07-04 10:07:00,1,209,,,9,2017-07-04 12:00:00,9.62,2017-07-04 04:49:00,24.14,2017-07-04 14:57:00,9.96,2017-07-04 04:49:00,23.86,2017-07-04 14:57:00,23.86,2017-07-04 14:57:00,12.46,2017-07-05 03:48:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148847,48.001663,6.2514997,2017-09-16,2017,Europe/Paris,2017-09-15 22:00:00,Mostly cloudy throughout the day.,partly-cloudy-day,2017-09-16 05:15:00,2017-09-16 17:47:00,0.88,0,0,"",,0,14.57,2017-09-16 13:06:00,4.99,2017-09-17 03:00:00,7.3,88,1013.2,9.836,,,1.49,187,73,,4,2017-09-16 12:50:00,5.9,2017-09-16 02:31:00,14.57,2017-09-16 13:06:00,5.41,2017-09-16 02:31:00,14.29,2017-09-16 13:06:00,14.29,2017-09-16 13:06:00,3.56,2017-09-17 03:02:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152000,44.494946,1.675188,2018-03-21,2017,Europe/Paris,2018-03-20 23:00:00,"","",2018-03-21 05:56:00,2018-03-21 18:08:00,0.15,0,,"",,0,9.47,2018-03-21 14:11:00,-1.43,2018-03-22 04:07:00,-5.35,52,1026.4,,,,4.38,341,,,0,2018-03-20 23:00:00,-0.66,2018-03-21 05:45:00,9.47,2018-03-21 14:11:00,-4.62,2018-03-21 04:15:00,6.18,2018-03-21 14:20:00,6.18,2018-03-21 14:20:00,-4.26,2018-03-22 06:56:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152204,48.40992,0.64937145,2018-03-30,2017,Europe/Paris,2018-03-29 22:00:00,"",rain,2018-03-30 05:41:00,2018-03-30 18:25:00,0.47,0.4029,4.0035,30-03-18 07:00:00,,1,9.86,2018-03-30 15:52:00,2.96,2018-03-31 05:47:00,3.8,88,996.4,,,,3.73,215,99,,3,2018-03-30 12:01:00,3.51,2018-03-30 00:33:00,9.86,2018-03-30 15:52:00,1.23,2018-03-30 21:00:00,6.57,2018-03-30 15:39:00,6.57,2018-03-30 15:39:00,1.23,2018-03-30 21:00:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152191,48.664566,7.2099943,2018-03-31,2017,Europe/Paris,2018-03-30 22:00:00,Foggy in the morning.,partly-cloudy-day,2018-03-31 05:12:00,2018-03-31 18:01:00,0.51,0,0,"",,0,12.66,2018-03-31 15:35:00,4.33,2018-03-31 21:42:00,3.16,81,1000.8,9.002,3.8,2018-03-31 16:02:00,1.43,278,84,,4,2018-03-31 11:36:00,1.34,2018-03-31 05:30:00,12.66,2018-03-31 15:35:00,1.11,2018-03-30 23:54:00,12.38,2018-03-31 15:35:00,12.38,2018-03-31 15:35:00,2.07,2018-04-01 06:00:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152342,44.780094,0.6372074,2018-04-06,2018,Europe/Paris,2018-04-05 22:00:00,"","",2018-04-06 05:30:00,2018-04-06 18:32:00,0.7,0.0006,0.0128,06-04-18 20:00:00,,0.05,22.74,2018-04-06 14:40:00,10.58,2018-04-07 04:06:00,6.38,67,1010.3,10.003,8.73,2018-04-06 15:56:00,3.52,127,,,0,2018-04-06 18:00:00,3.06,2018-04-06 05:12:00,22.74,2018-04-06 14:40:00,1.49,2018-04-06 05:09:00,22.46,2018-04-06 14:40:00,22.46,2018-04-06 14:40:00,10.85,2018-04-07 04:06:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
153114,47.37628,3.175882,2018-04-25,2018,Europe/Paris,2018-04-24 22:00:00,Overcast throughout the day.,cloudy,2018-04-25 04:42:00,2018-04-25 18:51:00,0.35,0,0,"",,0,17.31,2018-04-25 15:30:00,8,2018-04-26 04:47:00,10.99,91,1018.3,9.799,,,2.98,243,90,,4,2018-04-25 11:45:00,9.32,2018-04-25 08:35:00,17.31,2018-04-25 15:30:00,7.34,2018-04-25 08:37:00,17.03,2018-04-25 15:30:00,17.03,2018-04-25 15:30:00,7.27,2018-04-26 02:22:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
153471,48.259518,0.70705336,2018-05-02,2018,Europe/Paris,2018-05-01 22:00:00,"",rain,2018-05-02 04:38:00,2018-05-02 19:13:00,0.59,,,"",,1,12.44,2018-05-02 13:53:00,4.07,2018-05-03 04:52:00,5.88,85,1011.9,,,,3.15,207,98,,4,2018-05-02 12:00:00,3.22,2018-05-02 03:36:00,12.44,2018-05-02 13:53:00,1.57,2018-05-02 04:00:00,12.16,2018-05-02 13:53:00,12.16,2018-05-02 13:53:00,1.83,2018-05-03 00:06:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
