id,lat,lon,date_piqure_saisie_jm12,annee_extract,timezone,time,summary,icon,sunrisetime,sunsettime,moonphase,precipintensity,precipintensitymax,precipintensitymaxtime,precipaccumulation,precipprobability,temperaturehigh,temperaturehightime,temperaturelow,temperaturelowtime,dewpoint,humidity,pressure,visibility,windgust,windgusttime,windspeed,windbearing,cloudcover,cloudcovererror,uvindex,uvindextime,temperaturemin,temperaturemintime,temperaturemax,temperaturemaxtime,apparenttemperaturemin,apparenttemperaturemintime,apparenttemperaturemax,apparenttemperaturemaxtime,apparenttemperaturehigh,apparenttemperaturehightime,apparenttemperaturelow,apparenttemperaturelowtime,datasource
145206,43.899868,5.80327,2017-07-01,2017,Europe/Paris,2017-06-30 22:00:00,"","",2017-07-01 04:00:00,2017-07-01 19:24:00,0.28,0,0,"",,0,23.93,2017-07-01 14:00:00,14.38,2017-07-02 03:58:00,7.49,58,1014.2,,,,4.41,351,,,,,9.88,2017-07-01 02:57:00,23.93,2017-07-01 14:00:00,10.15,2017-07-01 02:57:00,23.65,2017-07-01 14:00:00,23.65,2017-07-01 14:00:00,14.65,2017-07-02 03:58:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
146128,43.556267,3.7109,2017-07-03,2017,Europe/Paris,2017-07-02 22:00:00,"","",2017-07-03 04:10:00,2017-07-03 19:31:00,0.34,0,0,"",,0,30.99,2017-07-03 16:06:00,19.59,2017-07-04 04:18:00,13.97,53,1020.6,10.003,10.73,2017-07-03 09:01:00,3.75,308,,,,,18.21,2017-07-03 03:57:00,30.99,2017-07-03 16:06:00,18.48,2017-07-03 03:57:00,30.71,2017-07-03 16:06:00,30.71,2017-07-03 16:06:00,19.86,2017-07-04 04:18:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
146425,43.077814,0.6833,2017-07-08,2017,Europe/Paris,2017-07-07 22:00:00,"",rain,2017-07-08 04:27:00,2017-07-08 19:40:00,0.49,,,"",,1,22.88,2017-07-08 15:00:00,16.73,2017-07-09 04:02:00,19.34,88,1015.9,,,,1.85,295,99,,5,2017-07-08 12:00:00,19.48,2017-07-08 11:34:00,23.18,2017-07-07 22:00:00,20.28,2017-07-08 11:33:00,23.51,2017-07-07 22:00:00,23.17,2017-07-08 15:00:00,17.18,2017-07-09 04:01:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148798,48.63398397,0.37623024,2017-09-11,2017,Europe/Paris,2017-09-10 22:00:00,"",rain,2017-09-11 05:31:00,2017-09-11 18:22:00,0.7,0.1278,2.0026,11-09-17 17:00:00,,1,17.27,2017-09-11 13:52:00,10.96,2017-09-12 05:03:00,10.01,80,1003.6,,,,5.9,246,92,,4,2017-09-11 11:59:00,10.43,2017-09-11 05:48:00,17.27,2017-09-11 13:52:00,10.7,2017-09-11 05:48:00,16.99,2017-09-11 13:52:00,16.99,2017-09-11 13:52:00,11.23,2017-09-12 05:03:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
149683,45.104954,3.5979533,2017-09-20,2017,Europe/Paris,2017-09-19 22:00:00,"",cloudy,2017-09-20 05:32:00,2017-09-20 17:49:00,0.02,0,0,"",,0,14.17,2017-09-20 15:03:00,0.21,2017-09-21 05:44:00,4.78,79,,,,,2.17,12,98,,4,2017-09-20 11:00:00,3.92,2017-09-20 05:43:00,14.17,2017-09-20 15:03:00,3.45,2017-09-20 20:25:00,13.89,2017-09-20 15:03:00,13.89,2017-09-20 15:03:00,0.48,2017-09-21 05:44:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
149621,47.407276,0.52861434,2017-09-21,2017,Europe/Paris,2017-09-20 22:00:00,"","",2017-09-21 05:45:00,2017-09-21 18:00:00,0.05,0,0,"",,0,22.65,2017-09-21 15:40:00,11.87,2017-09-21 23:20:00,7.91,66,1018.4,10.003,,,1.84,117,,,0,2017-09-20 22:00:00,7.81,2017-09-21 05:40:00,22.65,2017-09-21 15:40:00,6.21,2017-09-21 05:28:00,22.37,2017-09-21 15:40:00,22.37,2017-09-21 15:40:00,12.14,2017-09-21 23:20:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151156,47.927724,0.482336,2017-10-06,2017,Europe/Paris,2017-10-05 22:00:00,Foggy in the morning.,partly-cloudy-day,2017-10-06 06:06:00,2017-10-06 17:29:00,0.54,0,0,"",,0,17.02,2017-10-06 13:20:00,2.32,2017-10-07 04:20:00,6.74,77,1026.5,9.668,,,1.9,346,49,,3,2017-10-06 11:47:00,4.27,2017-10-06 05:30:00,17.02,2017-10-06 13:20:00,4.54,2017-10-06 05:30:00,16.74,2017-10-06 13:20:00,16.74,2017-10-06 13:20:00,2.59,2017-10-07 04:20:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151572,44.826034,-0.575347,2017-11-16,2017,Europe/Paris,2017-11-15 23:00:00,"","",2017-11-16 07:03:00,2017-11-16 16:35:00,0.95,0,0,"",,0,15.21,2017-11-16 14:58:00,3.11,2017-11-17 06:51:00,1.69,75,1022.6,10.003,1.78,2017-11-16 11:16:00,0.51,50,,,0,2017-11-15 23:00:00,-0.96,2017-11-16 06:45:00,15.21,2017-11-16 14:58:00,-0.69,2017-11-16 06:45:00,14.93,2017-11-16 14:58:00,14.93,2017-11-16 14:58:00,3.38,2017-11-17 06:51:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151753,47.403458,5.079538,2018-01-25,2017,Europe/Paris,2018-01-24 23:00:00,"",cloudy,2018-01-25 07:15:00,2018-01-25 16:31:00,0.28,0,0,"",,0,13.14,2018-01-25 12:19:00,4.45,2018-01-26 06:31:00,6.35,79,1016.8,10.005,,,5.25,194,97,,0,2018-01-25 15:00:00,6.64,2018-01-25 07:22:00,13.14,2018-01-25 12:19:00,4.28,2018-01-25 07:15:00,12.86,2018-01-25 12:19:00,12.86,2018-01-25 12:19:00,3.18,2018-01-26 04:19:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
163494,47.347244,0.059880316,2018-04-22,2018,Europe/Paris,2018-04-21 22:00:00,"","",2018-04-22 05:00:00,2018-04-22 18:59:00,0.25,,,"",,,26.13,2018-04-22 13:00:00,9.49,2018-04-23 03:20:00,12.46,75,,9.511,,,2.35,214,,,5,2018-04-22 12:00:00,9.38,2018-04-22 04:35:00,26.13,2018-04-22 13:00:00,9.65,2018-04-22 04:35:00,25.85,2018-04-22 13:00:00,25.85,2018-04-22 13:00:00,8.75,2018-04-23 04:35:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
