id,lat,lon,date_piqure_saisie_jm5,annee_extract,timezone,time,summary,icon,sunrisetime,sunsettime,moonphase,precipintensity,precipintensitymax,precipintensitymaxtime,precipaccumulation,precipprobability,temperaturehigh,temperaturehightime,temperaturelow,temperaturelowtime,dewpoint,humidity,pressure,visibility,windgust,windgusttime,windspeed,windbearing,cloudcover,cloudcovererror,uvindex,uvindextime,temperaturemin,temperaturemintime,temperaturemax,temperaturemaxtime,apparenttemperaturemin,apparenttemperaturemintime,apparenttemperaturemax,apparenttemperaturemaxtime,apparenttemperaturehigh,apparenttemperaturehightime,apparenttemperaturelow,apparenttemperaturelowtime,datasource
151523,47.123752,0.995246,2017-11-17,2017,Europe/Paris,2017-11-16 23:00:00,Foggy overnight.,partly-cloudy-day,2017-11-17 07:04:00,2017-11-17 16:21:00,0.98,0,0,"",,0,10.45,2017-11-17 13:20:00,5.75,2017-11-18 06:20:00,5.35,91,1026.9,6.686,,,1.87,50,75,,1,2017-11-17 11:43:00,2.68,2017-11-17 06:40:00,10.45,2017-11-17 13:20:00,1,2017-11-17 06:53:00,10.27,2017-11-17 13:20:00,10.27,2017-11-17 13:20:00,4.54,2017-11-18 05:55:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151616,43.548824,1.6043036,2017-12-21,2017,Europe/Paris,2017-12-20 23:00:00,Possible drizzle in the evening.,rain,2017-12-21 07:25:00,2017-12-21 16:21:00,0.11,0.0003,0.0067,21-12-17 20:00:00,,0.63,8.4,2017-12-21 14:24:00,6.39,2017-12-22 07:00:00,4.83,88,1040.1,9.154,,,3.12,289,98,,1,2017-12-21 11:53:00,5.15,2017-12-21 02:19:00,8.4,2017-12-21 14:24:00,2.95,2017-12-21 01:57:00,6.7,2017-12-21 15:57:00,6.7,2017-12-21 15:57:00,4.12,2017-12-22 06:02:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152137,44.292175,5.632126,2018-04-03,2018,Europe/Paris,2018-04-02 22:00:00,"",cloudy,2018-04-03 05:16:00,2018-04-03 18:08:00,0.61,0,0,"",,0,16.45,2018-04-03 14:08:00,7.39,2018-04-04 00:38:00,4.09,74,1011.6,,,,2.98,222,96,,4,2018-04-03 11:00:00,3.62,2018-04-03 01:06:00,16.45,2018-04-03 14:08:00,1.88,2018-04-03 04:59:00,16.17,2018-04-03 14:08:00,16.17,2018-04-03 14:08:00,6.14,2018-04-04 00:01:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152506,46.418633,5.7423882,2018-04-06,2018,Europe/Paris,2018-04-05 22:00:00,Partly cloudy throughout the day.,"",2018-04-06 05:08:00,2018-04-06 18:13:00,0.7,0,0,"",,0,17.77,2018-04-06 15:13:00,5.71,2018-04-07 05:47:00,0.33,58,1018.2,10.003,5.94,2018-04-06 13:09:00,2.63,115,,,6,2018-04-06 11:00:00,1.38,2018-04-06 03:04:00,17.77,2018-04-06 15:13:00,-1.47,2018-04-06 04:51:00,17.49,2018-04-06 15:13:00,17.49,2018-04-06 15:13:00,3.69,2018-04-07 03:06:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152450,49.59645,3.4057114,2018-04-10,2018,Europe/Paris,2018-04-09 22:00:00,"",rain,2018-04-10 05:05:00,2018-04-10 18:32:00,0.82,0.0763,0.9997,09-04-18 22:00:00,,1,17.54,2018-04-10 12:08:00,4.2,2018-04-11 05:36:00,8.15,80,1001.4,,,,4.53,136,,,0,2018-04-09 22:00:00,7.37,2018-04-10 21:00:00,17.54,2018-04-10 12:08:00,5.61,2018-04-10 21:00:00,17.26,2018-04-10 12:08:00,17.26,2018-04-10 12:08:00,2.2,2018-04-11 05:33:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
153858,44.683576,-0.092455,2018-05-07,2018,Europe/Paris,2018-05-06 22:00:00,"","",2018-05-07 04:43:00,2018-05-07 19:13:00,0.74,0,0,"",,0,28.34,2018-05-07 14:50:00,14.16,2018-05-08 04:04:00,14.56,68,,,4.54,2018-05-07 17:48:00,0.9,321,,,,,12.77,2018-05-07 04:45:00,28.34,2018-05-07 14:50:00,13.04,2018-05-07 04:45:00,28.39,2018-05-07 14:45:00,28.39,2018-05-07 14:45:00,14.43,2018-05-08 04:04:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
153600,47.370018,3.1241925,2018-05-08,2018,Europe/Paris,2018-05-07 22:00:00,"","",2018-05-08 04:22:00,2018-05-08 19:09:00,0.77,0,0,"",,0,25.24,2018-05-08 12:00:00,12.57,2018-05-09 05:12:00,11.19,58,1008.9,9.988,,,1.51,311,,,4,2018-05-08 14:00:00,7.97,2018-05-08 02:54:00,25.24,2018-05-08 12:00:00,8.24,2018-05-08 02:54:00,24.96,2018-05-08 12:00:00,24.96,2018-05-08 12:00:00,12.84,2018-05-09 05:12:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
154665,48.24829,6.7318854,2018-05-10,2018,Europe/Paris,2018-05-09 22:00:00,Overcast throughout the day.,cloudy,2018-05-10 04:02:00,2018-05-10 19:00:00,0.83,0,0,"",,0,15.06,2018-05-10 14:35:00,1.29,2018-05-11 04:06:00,9.83,84,,9.945,,,3.61,272,93,,5,2018-05-10 12:10:00,7.32,2018-05-10 21:00:00,16.02,2018-05-10 01:40:00,5.92,2018-05-10 21:00:00,15.74,2018-05-10 01:40:00,14.78,2018-05-10 14:35:00,1.56,2018-05-11 04:06:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
159253,44.630707,2.8470898,2018-05-11,2018,Europe/Paris,2018-05-10 22:00:00,"","",2018-05-11 04:27:00,2018-05-11 19:06:00,0.87,0,0,"",,0,19.22,2018-05-11 15:06:00,6.81,2018-05-12 03:59:00,6.11,76,1017,9.896,4.67,2018-05-11 07:19:00,1.85,158,,,0,2018-05-11 05:00:00,1.37,2018-05-11 04:36:00,19.22,2018-05-11 15:06:00,1.71,2018-05-11 04:35:00,18.94,2018-05-11 15:06:00,18.94,2018-05-11 15:06:00,6.05,2018-05-12 04:25:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151661,43.161133,0.17655914,2017-01-08,2017,Europe/Paris,2017-01-07 23:00:00,Overcast throughout the day.,cloudy,2017-01-08 07:32:00,2017-01-08 16:43:00,0.36,0,0,"",,0,8.82,2017-01-08 14:55:00,-0.76,2017-01-09 03:55:00,-3.49,76,1034.1,10.003,,,1.66,173,95,,1,2017-01-08 12:05:00,-6.75,2017-01-08 06:00:00,8.82,2017-01-08 14:55:00,-10.43,2017-01-08 07:51:00,8.63,2017-01-08 14:51:00,8.63,2017-01-08 14:51:00,-3.77,2017-01-09 02:04:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
