id,lat,lon,date_piqure_saisie_jm6,annee_extract,timezone,time,summary,icon,sunrisetime,sunsettime,moonphase,precipintensity,precipintensitymax,precipintensitymaxtime,precipaccumulation,precipprobability,temperaturehigh,temperaturehightime,temperaturelow,temperaturelowtime,dewpoint,humidity,pressure,visibility,windgust,windgusttime,windspeed,windbearing,cloudcover,cloudcovererror,uvindex,uvindextime,temperaturemin,temperaturemintime,temperaturemax,temperaturemaxtime,apparenttemperaturemin,apparenttemperaturemintime,apparenttemperaturemax,apparenttemperaturemaxtime,apparenttemperaturehigh,apparenttemperaturehightime,apparenttemperaturelow,apparenttemperaturelowtime,datasource
147412,46.172455,1.8663284,2017-07-30,2017,Europe/Paris,2017-07-29 22:00:00,"","",2017-07-30 04:34:00,2017-07-30 19:27:00,0.26,0,0,"",,0,24.14,2017-07-30 15:07:00,13.33,2017-07-31 04:34:00,15.24,79,1013.6,,,,1.45,216,,,,,13.58,2017-07-30 00:04:00,24.14,2017-07-30 15:07:00,13.85,2017-07-30 00:03:00,23.91,2017-07-30 15:06:00,23.91,2017-07-30 15:06:00,13.62,2017-07-31 04:29:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148406,47.665672,2.634443,2017-09-01,2017,Europe/Paris,2017-08-31 22:00:00,Light rain in the afternoon and evening.,rain,2017-09-01 05:10:00,2017-09-01 18:32:00,0.36,0.034,0.4079,01-09-17 18:04:00,,1,22.13,2017-09-01 13:12:00,11.26,2017-09-02 05:35:00,10.52,76,,,2.26,2017-09-01 10:52:00,0.39,143,,,0,2017-08-31 22:00:00,9.68,2017-09-01 01:05:00,22.13,2017-09-01 13:12:00,9.95,2017-09-01 01:05:00,21.85,2017-09-01 13:12:00,21.85,2017-09-01 13:12:00,11.53,2017-09-02 05:35:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
150613,47.874893,0.19210115,2017-10-01,2017,Europe/Paris,2017-09-30 22:00:00,Foggy in the morning and afternoon.,cloudy,2017-10-01 06:00:00,2017-10-01 17:40:00,0.36,0,0,"",,0,18.42,2017-10-01 14:20:00,14.79,2017-10-02 06:00:00,14.37,91,1018.3,8.643,,,2.78,191,95,,3,2017-10-01 11:49:00,13.72,2017-10-01 04:20:00,18.42,2017-10-01 14:20:00,13.99,2017-10-01 04:20:00,18.45,2017-10-01 14:20:00,18.45,2017-10-01 14:20:00,15.06,2017-10-02 06:00:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151841,47.40773,0.5287307,2018-03-05,2017,Europe/Paris,2018-03-04 23:00:00,Overcast throughout the day.,cloudy,2018-03-05 06:32:00,2018-03-05 17:50:00,0.63,0,0,"",,0,12.64,2018-03-05 13:20:00,3.84,2018-03-06 04:30:00,4.35,81,991.6,9.959,,,2.8,146,94,,3,2018-03-05 12:34:00,2.95,2018-03-05 05:00:00,12.64,2018-03-05 13:20:00,1.15,2018-03-05 05:10:00,12.36,2018-03-05 13:20:00,12.36,2018-03-05 13:20:00,1.68,2018-03-06 04:25:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152072,47.49928,-1.421669,2018-03-27,2018,Europe/Paris,2018-03-26 22:00:00,Overcast throughout the day.,cloudy,2018-03-27 05:56:00,2018-03-27 18:29:00,0.37,0,0,"",,0,15.37,2018-03-27 13:34:00,10.75,2018-03-28 06:00:00,10.01,91,1015.7,8.715,,,3.1,262,98,,3,2018-03-27 12:11:00,8.02,2018-03-26 22:20:00,15.37,2018-03-27 13:34:00,6.36,2018-03-26 23:53:00,15.09,2018-03-27 13:34:00,15.09,2018-03-27 13:34:00,11.02,2018-03-28 06:00:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
156350,49.016581,2.07096,2018-04-04,2018,Europe/Paris,2018-04-03 22:00:00,Light rain until evening.,rain,2018-04-04 05:24:00,2018-04-04 18:28:00,0.64,0.0997,0.5362,04-04-18 02:04:00,,0.7,14.21,2018-04-04 12:04:00,5.77,2018-04-05 05:55:00,7.23,81,1000.6,9.973,9.5,2018-04-04 12:03:00,3.43,200,77,,4,2018-04-04 12:00:00,7.52,2018-04-03 22:59:00,14.21,2018-04-04 12:04:00,6.5,2018-04-03 22:22:00,13.93,2018-04-04 12:04:00,13.93,2018-04-04 12:04:00,3.68,2018-04-05 05:56:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152517,45.8772,0.5761911,2018-04-15,2018,Europe/Paris,2018-04-14 22:00:00,Overcast throughout the day.,"",2018-04-15 05:13:00,2018-04-15 18:45:00,0.99,0,0,"",,0,17.01,2018-04-15 12:06:00,7.94,2018-04-16 05:51:00,7.95,76,1014.6,10.003,6.51,2018-04-15 13:00:00,2.35,214,,,4,2018-04-15 12:46:00,7.9,2018-04-15 04:05:00,17.01,2018-04-15 12:06:00,7.53,2018-04-15 04:01:00,16.73,2018-04-15 12:06:00,16.73,2018-04-15 12:06:00,8.1,2018-04-16 05:32:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
153058,47.874496,0.19181281,2018-04-15,2018,Europe/Paris,2018-04-14 22:00:00,Foggy in the morning.,partly-cloudy-day,2018-04-15 05:11:00,2018-04-15 18:50:00,0.99,0,0,"",,0,17.38,2018-04-15 15:25:00,7.66,2018-04-16 02:28:00,9.46,84,1012.9,8.265,5.37,2018-04-15 17:00:00,2.42,204,79,,5,2018-04-15 12:00:00,8.67,2018-04-15 05:29:00,17.38,2018-04-15 15:25:00,8.63,2018-04-15 05:02:00,17.1,2018-04-15 15:25:00,17.1,2018-04-15 15:25:00,7.86,2018-04-16 04:44:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152984,46.574056,0.307024,2018-04-25,2017,Europe/Paris,2018-04-24 22:00:00,Foggy in the morning.,cloudy,2018-04-25 04:55:00,2018-04-25 19:01:00,0.35,0.0018,0.0239,25-04-18 14:51:00,,0.02,18.38,2018-04-25 15:00:00,4.85,2018-04-26 05:00:00,9.44,83,1019.3,9.616,9.18,2018-04-25 12:57:00,4.16,236,91,,5,2018-04-25 12:00:00,5.87,2018-04-25 03:06:00,18.38,2018-04-25 15:00:00,4.61,2018-04-25 03:08:00,18.1,2018-04-25 15:00:00,18.1,2018-04-25 15:00:00,4.11,2018-04-26 04:56:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
153267,48.368,-1.1904616,2018-04-29,2018,Europe/Paris,2018-04-28 22:00:00,Rain starting in the afternoon.,rain,2018-04-29 04:50:00,2018-04-29 19:16:00,0.49,0.4084,2.1794,29-04-18 14:07:00,,1,10.63,2018-04-29 10:25:00,4.94,2018-04-30 04:20:00,7.44,96,,,7.35,2018-04-29 14:39:00,0.67,19,,,,,6.59,2018-04-29 17:20:00,10.63,2018-04-29 10:25:00,4.7,2018-04-29 21:00:00,10.35,2018-04-29 10:25:00,10.35,2018-04-29 10:25:00,4.68,2018-04-29 21:05:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
