id,lat,lon,date_piqure_saisie_jm14,annee_extract,timezone,time,summary,icon,sunrisetime,sunsettime,moonphase,precipintensity,precipintensitymax,precipintensitymaxtime,precipaccumulation,precipprobability,temperaturehigh,temperaturehightime,temperaturelow,temperaturelowtime,dewpoint,humidity,pressure,visibility,windgust,windgusttime,windspeed,windbearing,cloudcover,cloudcovererror,uvindex,uvindextime,temperaturemin,temperaturemintime,temperaturemax,temperaturemaxtime,apparenttemperaturemin,apparenttemperaturemintime,apparenttemperaturemax,apparenttemperaturemaxtime,apparenttemperaturehigh,apparenttemperaturehightime,apparenttemperaturelow,apparenttemperaturelowtime,datasource
146179,47.373028,5.02102,2017-04-29,2017,Europe/Paris,2017-04-28 22:00:00,"",partly-cloudy-day,2017-04-29 04:27:00,2017-04-29 18:49:00,0.13,0,0,"",,0,16.57,2017-04-29 13:56:00,1.09,2017-04-30 04:50:00,1.98,65,1017.1,9.496,2.22,2017-04-29 11:04:00,1.2,59,49,,7,2017-04-29 11:00:00,0.45,2017-04-29 04:55:00,16.57,2017-04-29 13:56:00,0.72,2017-04-29 04:55:00,16.29,2017-04-29 13:56:00,16.29,2017-04-29 13:56:00,1.36,2017-04-30 04:50:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
146438,45.6042,2.7690468,2017-07-07,2017,Europe/Paris,2017-07-06 22:00:00,"","",2017-07-07 04:09:00,2017-07-07 19:41:00,0.46,0,0,"",,0,29.25,2017-07-07 16:35:00,14.45,2017-07-08 02:20:00,14.06,64,1017.1,10.003,,,2.19,129,,,3,2017-07-07 08:00:00,15.33,2017-07-07 04:35:00,29.25,2017-07-07 16:35:00,15.6,2017-07-07 04:35:00,28.94,2017-07-07 16:34:00,28.94,2017-07-07 16:34:00,14.88,2017-07-08 03:38:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
146883,46.194798,5.3997006,2017-07-14,2017,Europe/Paris,2017-07-13 22:00:00,"","",2017-07-14 04:02:00,2017-07-14 19:29:00,0.68,0.0173,0.3223,14-07-17 00:01:00,,0.1,26.15,2017-07-14 14:55:00,11.49,2017-07-15 03:48:00,13.63,65,1019.3,,7.65,2017-07-14 12:57:00,2.36,315,,,,,15.3,2017-07-14 04:45:00,26.15,2017-07-14 14:55:00,15.57,2017-07-14 04:45:00,25.87,2017-07-14 14:55:00,25.87,2017-07-14 14:55:00,11.76,2017-07-15 03:48:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
147334,47.06848,-1.162469,2017-07-17,2017,Europe/Paris,2017-07-16 22:00:00,"","",2017-07-17 04:28:00,2017-07-17 19:56:00,0.79,0,0,"",,0,32.63,2017-07-17 15:56:00,20.9,2017-07-18 04:52:00,16.29,64,1020.8,10.003,,,3.29,52,,,,,16.06,2017-07-17 04:38:00,32.63,2017-07-17 15:56:00,16.45,2017-07-17 04:38:00,32.52,2017-07-17 15:47:00,32.52,2017-07-17 15:47:00,21.2,2017-07-18 04:52:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148108,45.136784,2.6481457,2017-08-17,2017,Europe/Paris,2017-08-16 22:00:00,Foggy in the morning.,cloudy,2017-08-17 04:55:00,2017-08-17 18:55:00,0.85,0,0,"",,0,22.79,2017-08-17 14:20:00,9.14,2017-08-18 04:54:00,13.66,85,1020.3,7.453,,,1.62,301,93,,4,2017-08-17 09:00:00,10.16,2017-08-17 05:55:00,22.79,2017-08-17 14:20:00,10.62,2017-08-17 05:55:00,22.51,2017-08-17 14:20:00,22.51,2017-08-17 14:20:00,8.94,2017-08-18 04:55:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148536,47.87467,0.19219537,2017-08-28,2017,Europe/Paris,2017-08-27 22:00:00,"","",2017-08-28 05:14:00,2017-08-28 18:50:00,0.23,0,0,"",,0,32.5,2017-08-28 16:40:00,19.6,2017-08-29 05:35:00,17.19,60,1015.9,10.003,,,2.75,49,,,0,2017-08-27 22:00:00,20.65,2017-08-28 06:40:00,32.5,2017-08-28 16:40:00,21.1,2017-08-28 06:40:00,32.49,2017-08-28 13:06:00,32.49,2017-08-28 13:06:00,20.09,2017-08-29 05:35:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151317,48.291096,6.957581,2017-10-17,2017,Europe/Paris,2017-10-16 22:00:00,"","",2017-10-17 05:56:00,2017-10-17 16:41:00,0.93,0,0,"",,0,23.19,2017-10-17 14:00:00,3.59,2017-10-18 05:53:00,7.52,72,,9.988,,,1.34,,,,0,2017-10-16 22:00:00,4.54,2017-10-17 05:51:00,23.19,2017-10-17 14:00:00,4.81,2017-10-17 05:51:00,22.91,2017-10-17 14:00:00,22.91,2017-10-17 14:00:00,3.86,2017-10-18 05:53:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151651,45.4577,3.2450564,2017-12-25,2017,Europe/Paris,2017-12-24 23:00:00,Foggy in the morning.,cloudy,2017-12-25 07:27:00,2017-12-25 16:10:00,0.23,0,0,"",,0,8.05,2017-12-25 14:27:00,1.17,2017-12-25 18:00:00,0.79,92,1022.1,5.813,,,1.86,201,95,,1,2017-12-25 11:59:00,-1.92,2017-12-25 08:40:00,8.05,2017-12-25 14:27:00,-4.04,2017-12-25 03:38:00,7.77,2017-12-25 14:27:00,7.77,2017-12-25 14:27:00,0.68,2017-12-25 19:58:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151662,43.160816,0.17692481,2017-12-31,2017,Europe/Paris,2017-12-30 23:00:00,Dangerously windy in the evening.,cloudy,2017-12-31 07:32:00,2017-12-31 16:35:00,0.45,0,0,"",,0,11.91,2017-12-31 12:30:00,4.24,2018-01-01 07:00:00,3.39,82,1018.8,9.916,,,4.1,214,94,,1,2017-12-31 12:02:00,1.22,2017-12-31 02:05:00,11.91,2017-12-31 12:30:00,-1.45,2017-12-31 04:29:00,11.75,2017-12-31 15:48:00,11.75,2017-12-31 15:48:00,1.01,2018-01-01 03:29:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151952,45.136471,-1.063293,2018-03-10,2017,Europe/Paris,2018-03-09 23:00:00,Possible drizzle in the morning.,rain,2018-03-10 06:27:00,2018-03-10 18:04:00,0.79,0.0431,0.3724,10-03-18 01:59:00,,0.61,18.86,2018-03-10 11:54:00,10.23,2018-03-11 05:34:00,11.38,83,999.1,10.003,7.83,2018-03-10 05:58:00,3.37,148,87,,3,2018-03-10 13:00:00,10.7,2018-03-10 01:56:00,18.86,2018-03-10 11:54:00,10.97,2018-03-10 01:56:00,18.58,2018-03-10 11:54:00,18.58,2018-03-10 11:54:00,10.5,2018-03-11 05:34:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
