id,lat,lon,date_piqure_saisie_jm3,annee_extract,timezone,time,summary,icon,sunrisetime,sunsettime,moonphase,precipintensity,precipintensitymax,precipintensitymaxtime,precipaccumulation,precipprobability,temperaturehigh,temperaturehightime,temperaturelow,temperaturelowtime,dewpoint,humidity,pressure,visibility,windgust,windgusttime,windspeed,windbearing,cloudcover,cloudcovererror,uvindex,uvindextime,temperaturemin,temperaturemintime,temperaturemax,temperaturemaxtime,apparenttemperaturemin,apparenttemperaturemintime,apparenttemperaturemax,apparenttemperaturemaxtime,apparenttemperaturehigh,apparenttemperaturehightime,apparenttemperaturelow,apparenttemperaturelowtime,datasource
145466,48.871043,-1.512282,2017-06-12,2017,Europe/Paris,2017-06-11 22:00:00,"","",2017-06-12 04:04:00,2017-06-12 20:11:00,0.6,0,0,"",,0,19.36,2017-06-12 13:55:00,6.27,2017-06-13 04:46:00,10.13,72,,,7.65,2017-06-12 00:00:00,2.82,297,,,,,11.02,2017-06-12 21:00:00,19.38,2017-06-12 17:13:00,11.29,2017-06-12 21:00:00,19.1,2017-06-12 17:13:00,19.08,2017-06-12 13:55:00,4.9,2017-06-13 03:01:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
145479,43.901875,1.888705,2017-07-04,2017,Europe/Paris,2017-07-03 22:00:00,"","",2017-07-04 04:17:00,2017-07-04 19:39:00,0.37,0,0,"",,0,32.79,2017-07-04 16:36:00,18.84,2017-07-05 03:59:00,14.06,59,1018.1,,,,1.45,108,,,,,13.94,2017-07-04 03:59:00,32.79,2017-07-04 16:36:00,14.21,2017-07-04 03:59:00,32.51,2017-07-04 16:36:00,32.51,2017-07-04 16:36:00,19.11,2017-07-05 03:59:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
146883,46.194798,5.3997006,2017-07-25,2017,Europe/Paris,2017-07-24 22:00:00,Rain throughout the day.,rain,2017-07-25 04:14:00,2017-07-25 19:19:00,0.09,0.4933,1.6615,25-07-17 14:54:00,,1,19.19,2017-07-25 15:54:00,12.93,2017-07-26 02:34:00,13.92,88,1015.5,,4.82,2017-07-25 12:06:00,1.14,323,,,,,13.88,2017-07-25 04:30:00,19.19,2017-07-25 15:54:00,14.15,2017-07-25 04:30:00,18.91,2017-07-25 15:54:00,18.91,2017-07-25 15:54:00,13.2,2017-07-26 02:34:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148162,47.64133,1.4070752,2017-09-01,2017,Europe/Paris,2017-08-31 22:00:00,Drizzle in the afternoon.,rain,2017-09-01 05:15:00,2017-09-01 18:37:00,0.36,0.0004,0.0077,01-09-17 14:00:00,,0.73,20.44,2017-09-01 11:24:00,10.07,2017-09-02 00:08:00,9.94,73,1020.9,9.569,,,1.76,265,83,,5,2017-09-01 11:51:00,9.66,2017-09-01 04:56:00,20.44,2017-09-01 11:24:00,9.93,2017-09-01 04:56:00,20.16,2017-09-01 11:24:00,20.16,2017-09-01 11:24:00,10.34,2017-09-02 00:08:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151472,45.136681,-1.063209,2017-11-07,2017,Europe/Paris,2017-11-06 23:00:00,Rain overnight.,rain,2017-11-07 06:53:00,2017-11-07 16:46:00,0.64,0.0124,0.5566,07-11-17 22:00:00,,0.61,11.58,2017-11-07 14:49:00,7.75,2017-11-07 23:29:00,2.33,76,1022.9,9.959,4.03,2017-11-07 11:06:00,0.9,173,,,0,2017-11-07 16:00:00,0.85,2017-11-07 06:39:00,11.58,2017-11-07 14:49:00,1.12,2017-11-07 06:39:00,11.3,2017-11-07 14:49:00,11.3,2017-11-07 14:49:00,6.19,2017-11-08 04:38:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152137,44.292175,5.632126,2018-04-05,2018,Europe/Paris,2018-04-04 22:00:00,"",rain,2018-04-05 05:12:00,2018-04-05 18:10:00,0.67,0.0151,0.1994,05-04-18 01:00:00,,1,16.2,2018-04-05 14:36:00,0.78,2018-04-06 05:24:00,2.65,70,1015.5,,,,3.74,357,,,0,2018-04-05 06:00:00,1.92,2018-04-05 04:05:00,16.2,2018-04-05 14:36:00,0.57,2018-04-05 07:54:00,15.92,2018-04-05 14:36:00,15.92,2018-04-05 14:36:00,-1.35,2018-04-06 05:09:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152275,45.878643,0.57850385,2018-04-10,2018,Europe/Paris,2018-04-09 22:00:00,Rain in the morning.,rain,2018-04-10 05:22:00,2018-04-10 18:38:00,0.82,0.3758,2.3569,10-04-18 05:49:00,,0.73,13.95,2018-04-10 16:40:00,9.94,2018-04-11 06:00:00,6.83,80,999.5,9.683,6.48,2018-04-10 13:51:00,2.73,136,87,,4,2018-04-10 12:11:00,7.02,2018-04-10 06:55:00,13.95,2018-04-10 16:40:00,5.29,2018-04-10 04:13:00,13.67,2018-04-10 16:40:00,13.67,2018-04-10 16:40:00,10.21,2018-04-11 06:00:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152538,45.061282,3.895641,2018-04-19,2018,Europe/Paris,2018-04-18 22:00:00,"","",2018-04-19 04:54:00,2018-04-19 18:35:00,0.14,0,0,"",,0,24.72,2018-04-19 14:58:00,5.78,2018-04-20 03:58:00,5.66,58,,,,,1.53,97,,,0,2018-04-18 22:00:00,6.17,2018-04-19 04:10:00,24.72,2018-04-19 14:58:00,5.94,2018-04-19 04:46:00,24.44,2018-04-19 14:58:00,24.44,2018-04-19 14:58:00,6.05,2018-04-20 03:58:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
152829,47.206473,5.807159,2018-04-24,2017,Europe/Paris,2018-04-23 22:00:00,Foggy in the morning.,partly-cloudy-day,2018-04-24 04:33:00,2018-04-24 18:39:00,0.32,0,0,"",,0,22.67,2018-04-24 15:08:00,9.93,2018-04-25 04:43:00,10.65,75,1019.1,6.608,,,1.3,251,80,,7,2018-04-24 12:00:00,9.78,2018-04-24 04:46:00,22.67,2018-04-24 15:08:00,10.05,2018-04-24 04:46:00,22.39,2018-04-24 15:08:00,22.39,2018-04-24 15:08:00,10.2,2018-04-25 04:43:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
153692,47.40772,0.5285216,2018-05-11,2018,Europe/Paris,2018-05-10 22:00:00,"","",2018-05-11 04:28:00,2018-05-11 19:24:00,0.87,0,0,"",,0,22.63,2018-05-11 14:30:00,11.87,2018-05-12 04:20:00,6.15,61,1016.7,10.003,,,3.27,136,,,0,2018-05-11 18:00:00,4.95,2018-05-11 03:00:00,22.63,2018-05-11 14:30:00,3,2018-05-11 03:19:00,22.35,2018-05-11 14:30:00,22.35,2018-05-11 14:30:00,12.14,2018-05-12 04:20:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
