id;date_iso;humidite;point_rose;press_sta;press_mer;vvent;visibilite;nebulosite;rafale_10min;precip_24h;precip_01h;temperature;temperatureoffset2;temperature_diurne;temperature_diurne_offset2;temperature_nocturne;temperature_nocturne_offset2;origine
930;2018-12-01;88.59;7.01;994.28;1015.5;4.35;19.01;93.13;6.64;4.46;0.21;8.92;10.92;9.49;11.49;7.97;9.97;MF
154;2018-12-02;90.04;10;991.48;1011.94;5.21;19.58;96.61;8.06;7.84;0.29;11.67;13.67;12.16;14.16;10.86;12.86;MF
387;2018-12-03;87.28;10.68;992.19;1012.65;5.35;23.71;92.74;8.55;5.54;0.22;12.82;14.82;13.21;15.21;12.18;14.18;MF
189;2018-12-04;84.54;8.58;999.95;1021.14;2.95;25.08;87.13;4.57;2.72;0.02;11.26;13.26;11.61;13.61;10.68;12.68;MF
342;2018-12-05;86.52;7.76;1000.25;1021.46;3.1;18.9;91.11;4.73;0.91;0.07;10.1;12.1;10.81;12.81;8.93;10.93;MF
945;2018-12-06;87.59;9.68;1001.12;1022.49;4.1;23.82;94.28;6.37;2.24;0.02;11.79;13.79;12.28;14.28;10.97;12.97;MF
861;2018-12-07;82.32;7.62;997.47;1018.71;5.5;27.68;91.88;8.74;1.71;0.12;10.65;12.65;11.05;13.05;9.99;11.99;MF
259;2018-12-08;76.91;5.49;997.68;1019.15;6.64;24.91;88;10.43;2.72;0.03;9.64;11.64;10.08;12.08;8.91;10.91;MF
969;2018-12-09;74.29;5.85;997.59;1018.99;7.87;23.24;90.24;12.93;2.62;0.1;10.51;12.51;10.9;12.9;9.87;11.87;MF
269;2018-12-10;77.49;4.31;1006.14;1027.92;3.95;26.67;79.91;6.21;1.66;0.02;8.37;10.37;8.77;10.77;7.7;9.7;MF
326;2018-12-11;83.17;2.27;1002.46;1024.3;2.54;18.66;78.67;3.9;0.29;0;5.19;7.19;5.85;7.85;4.08;6.08;MF
211;2018-12-12;85.25;1.5;998.41;1020.24;2.66;16.73;89.76;4.15;0.5;0.02;3.92;5.92;4.47;6.47;3;5;MF
310;2018-12-13;85.71;0.98;990.52;1012.16;4.08;14.04;95.72;6.32;1.54;0.16;3.26;5.26;3.6;5.6;2.68;4.68;MF
59;2018-12-14;81.54;-0.44;996.62;1018.59;3.06;15.13;91.55;4.78;3.62;0.04;2.55;4.55;2.88;4.88;2.01;4.01;MF
476;2018-12-15;82.65;0.51;997.1;1018.86;3.72;13.63;94.8;5.79;2.01;0.17;3.33;5.33;3.83;5.83;2.51;4.51;MF
570;2018-12-16;91.65;5.26;992.61;1013.94;3.3;13.39;96.31;5.13;5.58;0.22;6.59;8.59;6.94;8.94;6;8;MF
112;2018-12-17;85.85;4.92;1000.8;1022.71;3.7;22.73;83.03;5.79;4.6;0.07;7.3;9.3;7.91;9.91;6.29;8.29;MF
161;2018-12-18;82.45;3.52;997.72;1019.4;4.69;25.67;88.29;7.26;0.8;0.06;6.47;8.47;6.92;8.92;5.72;7.72;MF
274;2018-12-19;84.98;5.65;994.18;1015.49;4.3;26.72;92.48;6.68;3.72;0.21;8.14;10.14;8.57;10.57;7.43;9.43;MF
158;2018-12-20;83.89;5.17;997.47;1018.83;4.45;27.63;87.09;6.86;3.88;0.03;7.85;9.85;8.39;10.39;6.97;8.97;MF
662;2018-12-21;85.65;7.76;997.67;1018.7;6.15;22.19;95.33;9.6;4.59;0.28;10.18;12.18;10.81;12.81;9.14;11.14;MF
107;2018-12-22;86.4;9.13;1002.87;1024.07;4.28;22.24;94.68;6.75;3.62;0.05;11.41;13.41;11.79;13.79;10.78;12.78;MF
518;2018-12-23;90.31;9.56;1003.94;1025.62;4.13;18.89;96.36;6.37;1.84;0.09;11.19;13.19;11.72;13.72;10.3;12.3;MF
1059;2018-12-24;87.03;7.82;1006.69;1028.39;3.19;23.74;95.02;4.91;2.06;0.05;10.01;12.01;10.37;12.37;9.41;11.41;MF
405;2018-12-25;84.55;2.96;1010.46;1032.65;2.41;19.94;83.11;3.7;0.26;0;5.62;7.62;6.04;8.04;4.92;6.92;MF
723;2018-12-26;83.36;0.34;1008.64;1030.77;2.07;16.64;85.8;3.18;0.01;0;3.19;5.19;3.91;5.91;2;4;MF
1019;2018-12-27;86.78;1.16;1005.83;1027.76;1.7;12.19;91.5;2.6;0.01;0;3.36;5.36;4.1;6.1;2.13;4.13;MF
758;2018-12-28;87.48;2.56;1008.45;1030.46;2.01;12.36;92.54;3.19;0.02;0;4.61;6.61;5.17;7.17;3.68;5.68;MF
757;2018-12-29;86.67;2.42;1012.21;1034.37;2.61;11.54;96.42;4.14;0.01;0;4.62;6.62;5.06;7.06;3.88;5.88;MF
1087;2018-12-30;88.5;3.54;1012.95;1035.02;2.63;12.8;96.59;4.12;0.04;0;5.57;7.57;6.09;8.09;4.7;6.7;MF
49;2018-12-31;86.15;3.92;1012.66;1034.57;2.55;17.23;95.44;4.04;0.23;0.01;6.44;8.44;7.03;9.03;5.45;7.45;MF
1016;2019-01-01;85.06;3.9;1011.82;1033.78;2.79;23.09;95.97;4.4;0.11;-0.01;6.39;8.39;6.73;8.73;5.83;7.83;MF
845;2019-01-02;74.63;0.95;1013.03;1035.18;4.38;29.38;89.1;6.93;0.07;-0.01;5.59;7.59;6.1;8.1;4.74;6.74;MF
300;2019-01-03;73.04;-2.06;1014.41;1036.74;3.41;25.25;78.77;5.3;0.01;0;2.84;4.84;3.44;5.44;1.84;3.84;MF
214;2019-01-04;76.25;-1.94;1014.6;1036.91;3.05;20.78;80.74;4.72;0.01;0;2.19;4.19;2.79;4.79;1.18;3.18;MF
1111;2019-01-05;77.91;-0.73;1013.16;1035.39;3.28;17.59;90.26;5.1;0.1;0;3.13;5.13;3.86;5.86;1.92;3.92;MF
22;2019-01-06;79.7;0.34;1012.44;1034.69;3.14;16.28;95.16;4.95;0.19;0;3.79;5.79;4.2;6.2;3.09;5.09;MF
56;2019-01-07;82.25;1.9;1012.48;1034.65;3.14;14.75;94.53;4.82;0.11;0;4.87;6.87;5.34;7.34;4.09;6.09;MF
115;2019-01-08;81.64;3.22;1006.2;1028.14;4.66;21.75;93.75;7.34;0.34;0;6.28;8.28;6.88;8.88;5.29;7.29;MF
463;2019-01-09;75.98;0.56;1000.54;1022.74;5.29;27.82;86.73;8.39;0.44;0.02;4.8;6.8;5.06;7.06;4.37;6.37;MF
816;2019-01-10;74.94;-1.7;1002.82;1025.08;3.98;26.03;83.75;6.12;0.34;0;2.72;4.72;3.14;5.14;2.03;4.03;MF
1003;2019-01-11;79.26;-0.58;1006.23;1028.42;3.15;18.16;92.42;4.71;0.15;0.01;3.04;5.04;3.69;5.69;1.97;3.97;MF
671;2019-01-12;82.73;2.53;1006.09;1028.09;3.83;20.08;95.44;5.97;0.42;0.01;5.52;7.52;6.1;8.1;4.54;6.54;MF
100;2019-01-13;83.09;5.55;999.3;1020.87;5.87;26.64;97.79;9.39;0.79;0.02;8.47;10.47;9.03;11.03;7.53;9.53;MF
572;2019-01-14;76.5;4.24;998.3;1019.87;4.9;31.28;94.12;7.94;0.93;0.02;8.4;10.4;8.71;10.71;7.9;9.9;MF
312;2019-01-15;74.35;1.54;1001.32;1023.05;2.52;29.08;87.4;3.87;0.24;0;6.07;8.07;6.73;8.73;4.99;6.99;MF
1126;2019-01-16;79.11;1.59;994.23;1015.8;3.26;22.59;87.74;5.06;0.09;0.02;5.16;7.16;5.94;7.94;3.86;5.86;MF
457;2019-01-17;80.57;2.96;993.3;1014.76;4.02;26.52;87.27;6.32;1.74;0.1;6.22;8.22;6.72;8.72;5.39;7.39;MF
1051;2019-01-18;80.2;-0.32;995.84;1017.73;2.95;24.06;87.71;4.49;1.05;0.01;3.05;5.05;3.71;5.71;1.95;3.95;MF
832;2019-01-19;84.11;0.64;991.02;1012.65;2.63;19.32;91.35;4.06;1.28;0.09;3.3;5.3;4.07;6.07;2.01;4.01;MF
922;2019-01-20;85.96;1.92;992.45;1014.11;2.48;17.48;96.27;3.82;1.77;0.06;4.19;6.19;4.72;6.72;3.31;5.31;MF
606;2019-01-21;81.84;-0.54;998.6;1020.65;2.95;17.21;85.23;4.5;1.24;0.05;2.46;4.46;2.87;4.87;1.77;3.77;MF
97;2019-01-22;82.19;-0.7;988.29;1010.16;3.74;18.35;92.36;5.85;1.96;0.12;2.28;4.28;2.91;4.91;1.24;3.24;MF
842;2019-01-23;83.51;0.12;978.55;1000.25;4.26;22.81;95.61;6.69;4.25;0.17;2.81;4.81;3.11;5.11;2.32;4.32;MF
1053;2019-01-24;76.83;-1.8;987.84;1009.86;3.93;20.91;95.33;6.11;2.01;0.02;2.22;4.22;2.6;4.6;1.59;3.59;MF
1064;2019-01-25;81.97;0.67;994.52;1016.5;3.33;16.3;91.76;5.12;0.55;0.01;3.84;5.84;4.47;6.47;2.78;4.78;MF
580;2019-01-26;83.34;3.78;992.73;1014.29;4.38;23.21;94.75;6.83;0.72;0.02;6.69;8.69;7.43;9.43;5.46;7.46;MF
343;2019-01-27;78.52;2.72;980.88;1002.22;7.24;25.68;91.94;11.77;3.38;0.22;6.36;8.36;6.66;8.66;5.85;7.85;MF
933;2019-01-28;76.04;0.53;985.24;1006.85;5;29.6;87.69;7.83;4.46;0.14;4.74;6.74;5.13;7.13;4.08;6.08;MF
551;2019-01-29;79.84;0.13;983.57;1005.06;4.43;24.76;93.53;7.02;3.01;0.21;3.64;5.64;4.17;6.17;2.77;4.77;MF
985;2019-01-30;80.5;0.14;979.4;1000.83;4.85;27.93;92.1;7.64;6.2;0.15;3.45;5.45;3.83;5.83;2.81;4.81;MF
78;2019-01-31;87.75;1.83;973.26;994.35;3.87;18.4;95.69;6.02;3.58;0.25;3.82;5.82;4.32;6.32;2.99;4.99;MF
247;2019-02-01;89.73;4.57;967.83;988.7;3.74;20.62;96.12;5.73;8.58;0.44;6.25;8.25;6.69;8.69;5.5;7.5;MF
244;2019-02-02;85.63;2.15;979.3;1000.7;5.06;20.01;94.45;8.02;7.16;0.22;4.5;6.5;4.76;6.76;4.06;6.06;MF
556;2019-02-03;76.4;-0.52;998.04;1020.16;5.12;29.09;87.29;7.96;2.63;0.03;3.46;5.46;4.04;6.04;2.51;4.51;MF
970;2019-02-04;77.94;-0.79;1004.11;1026.35;3.66;22.96;87.35;5.63;1.63;0.12;3.14;5.14;3.88;5.88;1.9;3.9;MF
304;2019-02-05;84.61;2.72;1004.7;1026.63;2.74;14.81;90.4;4.36;2.52;0.07;5.4;7.4;6.2;8.2;4.07;6.07;MF
210;2019-02-06;85;4.38;1002.03;1023.76;3.08;16.93;90.09;4.67;1.07;0.08;7.06;9.06;8.03;10.03;5.43;7.43;MF
4;2019-02-07;79.78;3.71;997.3;1018.9;4.39;23.15;86.74;6.83;1.91;0.05;7.22;9.22;7.97;9.97;5.98;7.98;MF
721;2019-02-08;79.66;4.13;994.91;1016.52;4.97;26.44;93;7.66;0.91;0.05;7.66;9.66;8.57;10.57;6.14;8.14;MF
902;2019-02-09;77.27;4.87;994.1;1015.46;4.93;25.83;91.94;7.61;2.21;0.08;8.82;10.82;9.65;11.65;7.42;9.42;MF
208;2019-02-10;79.08;4.78;988.83;1010.15;6.69;26.34;94.13;10.81;4.72;0.22;8.34;10.34;8.68;10.68;7.76;9.76;MF
381;2019-02-11;75.21;1.96;1002.98;1024.84;4.65;30.65;84.96;7.4;2.85;0.03;6.5;8.5;7.2;9.2;5.34;7.34;MF
1184;2019-02-12;76.35;0.69;1011.98;1034.1;2.48;23.4;68.15;3.79;0.3;0;5.18;7.18;6.27;8.27;3.37;5.37;MF
21;2019-02-13;74.25;0.09;1012.14;1034.23;2.62;20.27;50.79;4.05;0.01;0;4.95;6.95;6.42;8.42;2.5;4.5;MF
1144;2019-02-14;73;1.45;1011.02;1032.82;2.69;20.31;23.71;4.08;0;0;6.53;8.53;8.36;10.36;3.47;5.47;MF
376;2019-02-15;68.32;1.15;1007.66;1029.29;2.41;20.18;18.84;3.65;0.01;0;7.66;9.66;9.55;11.55;4.49;6.49;MF
75;2019-02-16;69.47;1.67;1005.75;1027.3;2.43;18.26;47.21;3.76;0.02;0;7.98;9.98;9.89;11.89;4.8;6.8;MF
562;2019-02-17;65.4;1.81;1001.45;1022.88;3.52;22.85;45.06;5.29;0.02;0;8.93;10.93;10.77;12.77;5.88;7.88;MF
737;2019-02-18;73.74;3.38;999.21;1020.61;3.26;23.87;69.01;4.85;0.25;0.02;8.22;10.22;9.59;11.59;5.93;7.93;MF
124;2019-02-19;80.21;3.97;1001.27;1022.37;2.17;17.7;81.77;3.38;0.33;0;7.46;9.46;8.53;10.53;5.68;7.68;MF
2;2019-02-20;80.15;3.67;1003.11;1024.04;2.06;13.67;72.41;3.17;0.03;0;7.3;9.3;8.93;10.93;4.57;6.57;MF
370;2019-02-21;76;3.63;1006.92;1028.51;2.11;13.65;56.16;3.29;0.03;0;8.32;10.32;10.01;12.01;5.5;7.5;MF
998;2019-02-22;69.55;3.65;1009.9;1031.51;2.81;16.45;51.74;4.36;0.04;0;9.81;11.81;11.56;13.56;6.89;8.89;MF
977;2019-02-23;67.77;3.52;1009.28;1030.8;3.2;17.58;34.3;4.88;0.02;0;9.85;11.85;11.35;13.35;7.34;9.34;MF
837;2019-02-24;64.69;1.5;1011.3;1033;2.51;20.2;34.33;3.85;0.01;0;8.68;10.68;10.26;12.26;6.05;8.05;MF
889;2019-02-25;63.91;2.11;1011.52;1033.19;2.31;20.73;16.02;3.6;0;0;9.29;11.29;11.2;13.2;6.11;8.11;MF
273;2019-02-26;64.64;3.37;1009.06;1030.51;2.14;19.39;15.05;3.3;0;0;10.48;12.48;12.6;14.6;6.95;8.95;MF
490;2019-02-27;64.23;3.48;1004.69;1026.01;2.07;17.69;8.38;3.18;0.01;0;11.13;13.13;13.34;15.34;7.45;9.45;MF
169;2019-02-28;74.14;5.6;1002.9;1024.34;4.7;19.78;76.18;7.24;0.21;0.04;10.5;12.5;11.78;13.78;8.37;10.37;MF
51;2019-03-01;74.96;5.54;1000.28;1021.72;4.53;23.15;93.43;7.06;1.33;0.04;10.13;12.13;10.64;12.64;9.27;11.27;MF
178;2019-03-02;77.62;5.89;998.24;1019.61;4.83;22.91;89.88;7.35;1.56;0.03;9.9;11.9;10.75;12.75;8.49;10.49;MF
730;2019-03-03;73.43;5.98;993.3;1014.23;5.27;26.91;90.85;8.2;0.68;0.06;11.2;13.2;12.35;14.35;9.28;11.28;MF
181;2019-03-04;68.75;3.94;987.5;1008.46;7.31;28.83;89.87;11.68;2.92;0.14;9.84;11.84;10.01;12.01;9.54;11.54;MF
48;2019-03-05;70.53;3.95;991.23;1012.11;4.75;32.21;87.27;7.36;1.95;0.03;9.57;11.57;10.7;12.7;7.69;9.69;MF
1187;2019-03-06;72.64;5.7;981.69;1002.23;6.29;30.14;95.1;9.84;1.37;0.14;10.83;12.83;11.86;13.86;9.13;11.13;MF
465;2019-03-07;72.47;4.83;985.52;1006.46;6.23;30.4;88.09;9.89;5.94;0.15;9.85;11.85;10.3;12.3;9.11;11.11;MF
1068;2019-03-08;74.7;4.27;997.1;1018.45;4.07;31.85;84.31;6.27;1.59;0.03;8.81;10.81;9.76;11.76;7.22;9.22;MF
1039;2019-03-09;80.62;7.34;1001.82;1023.08;5.17;25.93;95.16;7.94;0.77;0.02;10.78;12.78;11.66;13.66;9.32;11.32;MF
958;2019-03-10;75.66;6.99;1000.58;1021.77;7.08;24.5;90.03;11.38;2.26;0.08;11.45;13.45;12.19;14.19;10.21;12.21;MF
114;2019-03-11;64.29;1.2;1006.55;1028.36;5.88;29.58;73.78;9.24;1.08;0.02;8.16;10.16;9.01;11.01;6.73;8.73;MF
401;2019-03-12;64.36;0.55;999.76;1021.16;5.45;31.19;84.85;8.55;0.7;0.08;7.86;9.86;9.37;11.37;5.33;7.33;MF
517;2019-03-13;71.88;2.86;997.86;1019.47;6.61;27.45;85.99;10.62;2.85;0.12;7.94;9.94;8.65;10.65;6.75;8.75;MF
979;2019-03-14;78.48;5.06;998.23;1019.68;7.44;23.33;94.77;11.82;2.74;0.13;8.94;10.94;9.47;11.47;8.04;10.04;MF
620;2019-03-15;80.99;7.79;998.78;1020.05;6.87;26.63;97.28;10.8;3.3;0.04;11.18;13.18;11.87;13.87;10.04;12.04;MF
753;2019-03-16;71.81;6.08;995.72;1016.74;5.4;32.97;88.69;8.41;0.42;0.01;11.44;13.44;12.42;14.42;9.8;11.8;MF
144;2019-03-17;73.67;4.25;992.71;1013.98;5.61;30.53;87.97;8.97;1.79;0.1;9.04;11.04;9.55;11.55;8.19;10.19;MF
1127;2019-03-18;72.15;2.15;1000.89;1022.68;4.51;29.86;86.35;6.93;1.51;0.02;7.42;9.42;8.43;10.43;5.73;7.73;MF
399;2019-03-19;73.29;2.37;1005.35;1027.32;3.05;28.36;80.43;4.62;0.91;0.01;7.44;9.44;8.66;10.66;5.39;7.39;MF
541;2019-03-20;66.61;1.43;1010.07;1031.99;2.95;28.08;67.32;4.6;0.12;0;8.17;10.17;9.82;11.82;5.43;7.43;MF
284;2019-03-21;63.82;1.72;1009.41;1031.16;2.65;26.02;59.65;4.19;0.03;0;9.19;11.19;10.97;12.97;6.23;8.23;MF
39;2019-03-22;61.92;2.1;1007.21;1028.69;2.11;21.38;45.84;3.37;0.02;0;10.4;12.4;12.55;14.55;6.82;8.82;MF
875;2019-03-23;63.65;3.3;1006.26;1027.68;2.52;19.7;53.8;3.91;0.02;0;11.16;13.16;13.25;15.25;7.68;9.68;MF
340;2019-03-24;66.16;3.83;1004.92;1026.4;3.1;18.35;58.01;4.75;0.01;0;10.78;12.78;12.41;14.41;8.05;10.05;MF
407;2019-03-25;64.48;2.19;1004.35;1026.16;5.21;23.44;64.21;7.97;0.02;0;9.14;11.14;10.33;12.33;7.16;9.16;MF
1136;2019-03-26;58.88;-0.18;1006.95;1028.9;4.83;28.29;58.55;7.73;0.52;0.02;8.33;10.33;9.6;11.6;6.23;8.23;MF
755;2019-03-27;60.63;0.79;1008.38;1030.24;3.71;24.99;51.25;5.74;0.27;0;8.78;10.78;10.42;12.42;6.05;8.05;MF
968;2019-03-28;63.34;2.24;1009.46;1031.21;3.32;21.73;41.78;5.15;0;0;9.47;11.47;11.16;13.16;6.64;8.64;MF
696;2019-03-29;63.37;3.19;1005.82;1027.24;3.07;21.32;24.03;4.87;0.01;0;10.64;12.64;12.69;14.69;7.22;9.22;MF
180;2019-03-30;60.28;3;1000.94;1022.14;2.9;25.99;34.68;4.59;0.01;0;11.41;13.41;13.59;15.59;7.78;9.78;MF
1174;2019-03-31;62.7;3.65;997.35;1018.53;2.95;24.7;48.36;4.59;0.02;0;11.54;13.54;13.64;15.64;8.03;10.03;MF
1066;2019-04-01;65.08;4.96;995.02;1015.71;2.96;20.39;77.62;4.65;0.04;0.01;12.13;14.13;13.85;15.85;9.26;11.26;MF
409;2019-04-02;72.49;5.46;990.42;1011.4;3.98;21.37;91.73;6.34;1.17;0.07;10.74;12.74;11.7;13.7;9.13;11.13;MF
26;2019-04-03;81.01;3.73;983.15;1004.36;3.81;28.61;92.99;6.05;4.93;0.27;6.93;8.93;7.28;9.28;6.33;8.33;MF
1080;2019-04-04;74.32;1.62;979.1;1000.36;4.13;28.6;87.38;6.51;6.07;0.14;6.35;8.35;7.53;9.53;4.37;6.37;MF
672;2019-04-05;67.52;2.13;980.03;1001.07;3.73;31.61;87.55;5.82;1.71;0.04;8.35;10.35;9.87;11.87;5.83;7.83;MF
618;2019-04-06;77.87;4.91;980.29;1001.27;3.96;24.35;94.44;6;3.88;0.24;8.86;10.86;9.78;11.78;7.31;9.31;MF
674;2019-04-07;78.5;5.5;985.68;1006.82;2.98;28.04;90.46;4.64;3.69;0.05;9.31;11.31;10.63;12.63;7.12;9.12;MF
989;2019-04-08;77.65;5.94;989.7;1010.86;2.57;27.09;84.76;4.02;1.05;0.08;10.05;12.05;11.59;13.59;7.48;9.48;MF
535;2019-04-09;78.78;6.42;989.3;1010.48;2.38;23.26;85.49;3.79;1.67;0.12;10.34;12.34;11.73;13.73;8.04;10.04;MF
649;2019-04-10;79.5;6.38;990.92;1012.26;3.94;18.01;91.8;6.1;2.54;0.11;10.07;12.07;11;13;8.52;10.52;MF
634;2019-04-11;70.5;4.27;995.91;1017.46;4.63;17.87;82.48;7.16;1.04;0.01;9.77;11.77;10.84;12.84;7.99;9.99;MF
935;2019-04-12;64;1.84;998.27;1019.93;3.81;16.19;66.37;6.08;0.82;0.03;8.92;10.92;10.41;12.41;6.44;8.44;MF
131;2019-04-13;58.62;-0.3;998.67;1020.37;3.74;19.48;65.79;5.94;0.22;0;8.12;10.12;9.66;11.66;5.54;7.54;MF
1166;2019-04-14;57.9;-1.21;997.52;1019.24;3.9;21.04;82.42;6.29;0.28;0.02;7.36;9.36;8.74;10.74;5.07;7.07;MF
1027;2019-04-15;59.3;1.71;995.59;1016.83;4.21;22.01;74.01;6.82;0.52;0.09;10.03;12.03;11.97;13.97;6.79;8.79;MF
568;2019-04-16;78.23;7.46;996.57;1017.75;2.91;22.44;93.35;4.59;3.5;0.09;11.39;13.39;12.45;14.45;9.62;11.62;MF
1188;2019-04-17;73.25;7.47;996.97;1017.98;3.49;25.67;79.22;5.54;0.76;0;12.67;14.67;14.5;16.5;9.61;11.61;MF
1108;2019-04-18;63.63;7.25;997.6;1018.48;3.93;28.72;83.34;6.12;0.02;0;14.84;16.84;16.73;18.73;11.69;13.69;MF
1000;2019-04-19;56.56;6.5;1002.86;1023.76;3.35;26.51;61.1;5.4;0.01;0;16.14;18.14;18.28;20.28;12.57;14.57;MF
486;2019-04-20;57.1;6.22;1003.19;1024.21;3.48;26.49;54.36;5.45;0.13;0;15.71;17.71;17.79;19.79;12.23;14.23;MF
520;2019-04-21;61.09;6.75;996.1;1017.02;3.3;27.62;84.36;5.17;0.21;0.01;15.02;17.02;16.65;18.65;12.31;14.31;MF
882;2019-04-22;60.34;7.19;983.84;1004.38;3.45;27.77;89.66;5.57;0.21;0.03;15.75;17.75;17.52;19.52;12.79;14.79;MF
121;2019-04-23;71.46;9.45;976.59;996.96;3.65;24.72;96.61;5.78;2.54;0.21;14.94;16.94;15.86;17.86;13.41;15.41;MF
733;2019-04-24;76.16;8.57;980.24;1000.71;5.18;26.33;91.94;8.28;6.28;0.3;13.09;15.09;13.85;15.85;11.82;13.82;MF
36;2019-04-25;76.36;7.58;985.5;1006.2;5.41;30.46;90.63;8.56;6.36;0.35;11.98;13.98;12.91;14.91;10.44;12.44;MF
925;2019-04-26;77.7;6.99;994.94;1016.13;4.39;30.17;88.55;6.91;7.24;0.18;11.07;13.07;12.34;14.34;8.95;10.95;MF
1098;2019-04-27;71.23;5.82;999.93;1021.24;6.04;27.65;88.84;9.68;2.93;0.06;11.16;13.16;12.1;14.1;9.57;11.57;MF
654;2019-04-28;72.45;4.99;1001.23;1022.77;4.69;28.75;90.15;7.39;1.29;0.03;10.17;12.17;11.21;13.21;8.44;10.44;MF
891;2019-04-29;70.55;5.12;1000.6;1022.09;3.06;28.11;78.8;4.86;0.72;0;10.94;12.94;12.68;14.68;8.04;10.04;MF
906;2019-04-30;67.79;5.76;998.9;1020.24;3.07;26.43;59.53;4.81;0.04;0;12.15;14.15;14.12;16.12;8.85;10.85;MF
812;2019-05-01;71.52;7.36;995.4;1016.49;2.46;19.55;70.35;3.99;0.06;0.02;12.98;14.98;14.98;16.98;9.66;11.66;MF
296;2019-05-02;76.77;7.93;994.52;1015.66;3.59;21.39;92.1;5.67;1.26;0.07;12.17;14.17;13.23;15.23;10.4;12.4;MF
810;2019-05-03;76.61;7.17;992.72;1014;3.23;26.79;91.09;5.05;2.24;0.08;11.43;13.43;12.44;14.44;9.76;11.76;MF
1132;2019-05-04;75.32;4.88;992.23;1013.72;4.85;26.52;87.22;7.68;1.8;0.08;9.46;11.46;10.34;12.34;7.99;9.99;MF
77;2019-05-05;65.03;0.9;998.02;1020.05;5.48;30.21;74.97;8.65;1.63;0.02;7.73;9.73;9.22;11.22;5.24;7.24;MF
1078;2019-05-06;61.31;1.24;999.33;1021.01;3.27;29.65;73.41;5.21;0.16;0;9.17;11.17;11.27;13.27;5.66;7.66;MF
345;2019-05-07;61.87;3.69;994.81;1015.91;2.77;29.76;84.94;4.51;0.15;0.04;11.59;13.59;13.82;15.82;7.89;9.89;MF
1160;2019-05-08;81.36;9.02;983.92;1004.52;5.26;24.66;96.09;8.41;4.56;0.42;12.33;14.33;13.08;15.08;11.08;13.08;MF
1105;2019-05-09;77.36;8.45;984.8;1005.54;5.36;27.52;91.23;8.59;7.3;0.13;12.59;14.59;13.81;15.81;10.57;12.57;MF
973;2019-05-10;78.34;9.64;990.13;1011.14;3.06;27.27;91.97;4.81;2.06;0.13;13.7;15.7;15.24;17.24;11.13;13.13;MF
110;2019-05-11;75.81;8.77;997.09;1018.55;5.05;28.12;88.83;8.06;5.72;0.2;13.31;15.31;14.2;16.2;11.83;13.83;MF
1030;2019-05-12;64.46;4.91;1006.53;1028.57;5.11;27.35;65.53;8.12;1.57;0;12.21;14.21;13.99;15.99;9.24;11.24;MF
670;2019-05-13;53.75;3.11;1006.86;1028.83;5.61;32.74;48.83;8.9;0.09;0;13.07;15.07;15.02;17.02;9.81;11.81;MF
153;2019-05-14;50.46;3.14;1002.19;1023.86;5.06;33.66;35.13;7.98;0.02;0;14.02;16.02;16.06;18.06;10.62;12.62;MF
1073;2019-05-15;52.18;2.87;997.3;1018.95;4.82;31.93;54.01;7.65;0.29;0.02;13.27;15.27;15.06;17.06;10.29;12.29;MF
1096;2019-05-16;58.5;4.57;991.69;1013.08;3.21;34.18;71.56;5.17;0.16;0;13.13;15.13;15.25;17.25;9.61;11.61;MF
1149;2019-05-17;75.68;8.26;985.1;1006.31;3.41;24.67;95.38;5.36;2.63;0.17;12.72;14.72;13.64;15.64;11.18;13.18;MF
1088;2019-05-18;79.57;9.2;985.25;1006.49;2.93;23.04;96.08;4.66;3.84;0.06;12.92;14.92;13.98;15.98;11.15;13.15;MF
1014;2019-05-19;83.83;9.9;987.06;1008.4;3.13;20.49;95.76;4.89;2.88;0.11;12.72;14.72;13.6;15.6;11.26;13.26;MF
246;2019-05-20;79.59;9.91;990.4;1011.69;3.85;18.67;92.79;5.97;2.89;0.08;13.66;15.66;14.75;16.75;11.85;13.85;MF
818;2019-05-21;75.19;9.81;995.21;1016.55;3.29;19.25;84.07;5.22;0.96;0.03;14.62;16.62;16.34;18.34;11.76;13.76;MF
325;2019-05-22;67.65;8.96;997.93;1018.93;2.55;25.46;67.83;4.13;0.33;0;15.73;17.73;18.13;20.13;11.74;13.74;MF
932;2019-05-23;65.81;9.22;996.65;1017.5;2.24;28.46;78.27;3.66;0.06;0.02;16.43;18.43;18.91;20.91;12.3;14.3;MF
140;2019-05-24;74.41;10.86;995.87;1016.78;3.12;23.37;90.07;4.97;1.76;0.15;15.9;17.9;17.43;19.43;13.35;15.35;MF
917;2019-05-25;75;11.1;997.35;1018.39;3.45;24.05;89.41;5.47;2.2;0.03;15.89;17.89;17.29;19.29;13.55;15.55;MF
983;2019-05-26;75.41;11.03;996.47;1017.43;3.75;27.37;91.94;6.04;0.6;0.01;15.87;17.87;17.21;19.21;13.63;15.63;MF
676;2019-05-27;76.08;11.26;992.13;1013.02;4.1;28.1;92.71;6.53;0.78;0.06;15.84;17.84;16.89;18.89;14.08;16.08;MF
582;2019-05-28;73.35;9.05;992.89;1013.97;5.15;27.19;88.15;8.15;1.37;0.07;14.09;16.09;15.06;17.06;12.48;14.48;MF
595;2019-05-29;69.75;8.11;999.98;1021.23;4.21;29.04;85.74;6.66;1.3;0;14.23;16.23;15.86;17.86;11.52;13.52;MF
