id;temp;type
1153;6.34;mf
647;4.54;mf
339;4.34;mf
119;5.87;mf
1135;4.01;mf
27;5.15;mf
558;7.33;mf
984;8.02;mf
1152;8.05;mf
571;6.8;mf
791;5.94;mf
890;7.21;mf
552;6;mf
1186;3.53;mf
464;5.42;mf
1183;11.09;mf
766;10.44;mf
320;8.54;mf
1119;8.94;mf
498;11.31;mf
435;12.08;mf
581;9.95;mf
692;7.97;mf
162;8.55;mf
357;7.63;mf
199;7.05;mf
575;7.88;mf
265;6.53;mf
1056;5.68;mf
601;4.74;mf
746;5.1;mf
175;6.95;mf
828;9.72;mf
1041;7.51;mf
1140;8.26;mf
117;7.13;mf
267;7.98;mf
903;9.74;mf
431;10.82;mf
557;9.89;mf
616;10.36;mf
1054;9.06;mf
680;6.92;mf
442;5.9;mf
396;7.19;mf
395;7.98;mf
997;7.91;mf
866;7.72;mf
1141;5.47;mf
963;4.14;mf
834;4.31;mf
817;3.79;mf
496;2.53;mf
167;2.45;mf
331;1.58;mf
307;1.4;mf
163;2.18;mf
408;3.49;mf
365;5.5;mf
236;3.66;mf
111;2.28;mf
125;3.98;mf
137;8.47;mf
593;7.95;mf
1129;7.23;mf
316;5.62;mf
390;5.72;mf
34;6.51;mf
95;3.94;mf
851;2.27;mf
703;1.89;mf
614;2.51;mf
84;2.32;mf
179;-1.05;mf
279;-3.49;mf
1010;-2.79;mf
487;2.85;mf
927;5.66;mf
1145;7;mf
260;7.35;mf
804;7.65;mf
833;7.36;mf
336;6.95;mf
16;7.86;mf
971;10.27;mf
135;12.29;mf
52;12.03;mf
727;10.09;mf
1060;8.89;mf
666;9.22;mf
385;9.68;mf
1182;8.75;mf
611;5.83;mf
1072;4.04;mf
454;3.3;mf
294;3.65;mf
157;4.32;mf
197;4.6;mf
783;6.64;mf
510;7.57;mf
734;8.67;mf
1074;8.57;mf
43;9;mf
748;10.34;mf
1148;8.54;mf
911;7.97;mf
73;7.16;mf
1163;8.4;mf
793;10.55;mf
560;12.26;mf
926;11.75;mf
1162;10.43;mf
133;12.05;mf
514;13.58;mf
374;13.08;mf
583;11.88;mf
770;10.74;mf
787;10.73;mf
643;10.55;mf
205;11.19;mf
594;12.08;mf
955;13.19;mf
613;12.88;mf
1037;14.42;mf
919;17.35;mf
921;18.08;mf
871;18.22;mf
513;18.75;mf
516;17.74;mf
768;15.18;mf
411;15.44;mf
569;14.31;mf
478;12.79;mf
185;13.09;mf
1023;12.8;mf
801;11.88;mf
1085;9.89;mf
494;9.7;mf
722;10.91;mf
995;12.17;mf
86;13.55;mf
545;15.81;mf
1018;17.84;mf
820;18.66;mf
424;16.9;mf
777;15.34;mf
992;13.75;mf
668;14.58;mf
711;13.56;mf
974;10.21;mf
716;10.83;mf
850;13.44;mf
612;14.51;mf
354;14.38;mf
482;14.81;mf
916;15.16;mf
276;15.82;mf
994;16.86;mf
132;16.69;mf
640;16.84;mf
567;17.81;mf
356;18.24;mf
1001;19.63;mf
391;19.68;mf
302;18.35;mf
245;18.09;mf
149;18.26;mf
451;17.96;mf
383;17.95;mf
103;18.76;mf
900;19.07;mf
324;18.56;mf
589;18.06;mf
913;17.73;mf
657;18.28;mf
489;19.46;mf
1138;20.11;mf
1116;19.64;mf
652;18.32;mf
961;17.5;mf
908;16.64;mf
584;16.94;mf
1161;17.9;mf
1156;18.19;mf
1044;17.99;mf
477;18.71;mf
1118;20.42;mf
710;22.28;mf
479;20.61;mf
843;18.05;mf
286;18.22;mf
289;18.94;mf
503;19.88;mf
829;21.42;mf
1173;22.01;mf
182;21.81;mf
1034;22.28;mf
942;23.83;mf
275;24.23;mf
628;22.89;mf
91;22.55;mf
857;22.18;mf
400;20.35;mf
1139;21.16;mf
151;22.85;mf
765;23.53;mf
173;23.02;mf
1109;21.64;mf
819;20.39;mf
924;20.56;mf
715;25.07;mf
844;23.1;mf
50;23.1;mf
701;21.46;mf
824;21.67;mf
329;21.97;mf
681;22.81;mf
68;20.9;mf
978;20.05;mf
1058;21.09;mf
266;22.82;mf
976;23.71;mf
1035;24.42;mf
904;25.26;mf
1013;24.26;mf
895;21.81;mf
796;22.41;mf
423;23.66;mf
159;23.74;mf
718;23.59;mf
802;24.92;mf
202;26.39;mf
664;26.31;mf
262;25.66;mf
472;25.89;mf
929;24.81;mf
493;22.59;mf
328;19.47;mf
449;19.12;mf
848;20.36;mf
967;21.76;mf
754;20.36;mf
226;20.18;mf
261;20.7;mf
1179;21.59;mf
565;19.81;mf
1095;19.97;mf
920;21.52;mf
456;22.22;mf
